"name","label","data_type","value_labels","n_missing","complete_rate","min","median","max","mean","sd","n_value_labels","hist","format.spss","display_width"
"estratoarea","Estratos","haven_labelled","1010. Ahuachapán rural,
1011. Ahuachapán urbano,
1030. Atiquizaya rural,
1031. Atiquizaya urbano,
1070. Jujutla rural,
1071. Jujutla urbano,
1080. San Francisco Menéndez rural,
1081. San Francisco Menéndez urbano,
1500. Resto Ahuachapán rural,
1501. Resto Ahuachapán urbano,
2010. Candelaria de la Frontera rural,
2011. Candelaria de la Frontera urbano,
2020. Coatepeque rural,
2021. Coatepeque urbano,
2030. Chalchuapa rural,
2031. Chalchuapa urbano,
2070. Metapán rural,
2071. Metapán urbano,
2100. Santa Ana rural,
2101. Santa Ana urbano,
2500. Resto Santa Ana rural,
2501. Resto Santa Ana urbano,
3010. Acajutla rural,
3011. Acajutla urbano,
3060. Izalco rural,
3061. Izalco urbano,
3080. Nahuizalco rural,
3081. Nahuizalco urbano,
3110. San Antonio del Monto rural,
3111. San Antonio del Monte urbano,
3150. Sonsonate rural,
3151. Sonsonate urbano,
3500. Resto Sonsonate rural,
3501. Resto Sonsonate urbano,
4070. Chalatenango rural,
4071. Chalatenango urbano,
4500. Resto Chalatenango rural,
4501. Resto Chalatenango urbano,
5011. Antiguo Cuscatlán urbano,
5020. Ciudad Arce rural,
5021. Ciudad Arce urbano,
5030. Colón rural,
5031. Colón urbano,
5090. La Libertad rural,
5091. La Libertad urbano,
5110. Santa Tecla rural,
5111. Santa Tecla urbano,
5120. Quezaltepeque rural,
5121. Quezaltepeque urbano,
5150. San Juan Opico rural,
5151. San Juan Opico urbano,
5500. Resto La Libertad rural,
5501. Resto La Libertad urbano,
6021. Apopa urbano,
6031. Ayutuxtepeque urbano,
6041. Cuscatancingo urbano,
6071. Ilopango urbano,
6081. Mejicanos urbano,
6090. Nejapa rural,
6091. Nejapa urbano,
6100. Panchimalco rural,
6101. Panchimalco urbano,
6121. San Marcos rural,
6130. San Martín rural,
6131. San Martín urbano,
6141. San Salvador urbano,
6160. Santo Tomás rural,
6161. Santo Tomás urbano,
6171. Soyapango urbano,
6180. Tonacatepeque rural,
6181. Tonacatepeque urbano,
6190. Ciudad Delgado rural,
6191. Ciudad Delgado urbano,
6500. Resto San Salvador rural,
6501. Resto San Salvador urbano,
7020. Cojutepeque rural,
7021. Cojutepeque urbano,
7500. Resto Cuscatlán rural,
7501. Resto Cuscatlán urbano,
8050. Olocuilta Rural,
8051. Olocuilta urbano,
8190. Santiago Nonualco rural,
8191. Santiago Nonualco urbano,
8210. Zacatecoluca rural,
8211. Zacatecoluca urbano,
8500. Resto La Paz rural,
8501. Resto La Paz urbano,
9030. Ilobasco rural,
9031. Ilobasco urbano,
9060. Sensuntepeque rural,
9061. Sensuntepeque urbano,
9500. Resto Cabañas rural,
9501. Resto Cabañas urbano,
10100. San Vicente rural,
10101. San Vicente urbano,
10500. Resto San Vicente rural,
10501. Resto San Vicente urbano,
11080. Jiquilisco rural,
11081. Jiquilisco urbano,
11230. Usulután rural,
11231. Usulután urbano,
11500. Resto Usulután rural,
11501. Resto Usulután urbano,
12020. Ciudad Barrios rural,
12021. Ciudad Barrios urbano,
12170. San Miguel rural,
12171. San Miguel urbano,
12500. Resto San Miguel rural,
12501. Resto San Miguel urbano,
13190. San Francisco Gotera rural,
13191. San Francisco Gotera urbano,
13500. Resto Morazán rural,
13501. Resto Morazán urbano,
14040. Conchagua rural,
14041. Conchagua urbano,
14080. La Unión rural,
14081. La Unión urbano,
14500. Resto La Unión rural,
14501. Resto La Unión urbano",0,1,"1010","6171.0","14501",7237.147448888891,3931.8170605582613,119,"▆▃▆▇▅▃▃▅","F5.0","6"
"codigomunic","Códigos municipales","haven_labelled","101. Ahuachapán,
102. Apaneca,
103. Atiquizaya,
104. Concepción de Ataco,
105. El Refugio,
106. Guaymango,
107. Jujutla,
108. San Francisco Menéndez,
109. San Lorenzo,
110. San Pedro Puxtla,
111. Tacuba,
112. Turín,
201. Candelaria de la Frontera,
202. Coatepeque,
203. Chalchuapa,
204. El Congo,
205. El Porvenir,
206. Masahuat,
207. Metapán,
208. San Antonio Pajonal,
209. San Sebastián Salitrillo,
210. Santa Ana,
211. Santa Rosa Guachipilín,
212. Santiago de la Frontera,
213. Texistepeque,
301. Acajutla,
302. Armenia,
303. Caluco,
304. Cuisnahuat,
305. Santa Isabel Ishuatán,
306. Izalco,
307. Juayúa,
308. Nahuizalco,
309. Nahuilingo,
310. Salcoatitán,
311. San Antonio del Monte,
312. San Julián,
313. Santa Catarina Masahuat,
314. Santo Domingo de Guzmán,
315. Sonsonate,
316. Sonzacate,
401. Agua Caliente,
402. Arcatao,
403. Azacualpa,
404. Citalá,
405. Comalapa,
406. Concepción Quezaltepeque,
407. Chalatenango,
408. Dulce Nombre de María,
409. El Carrizal,
410. El Paraíso,
411. La Laguna,
412. La Palma,
413. La Reina,
414. Las Vueltas,
415. Nombre de Jesús,
416. Nueva Concepción,
417. Nueva Trinidad,
418. Ojos de Agua,
419. Potonico,
420. San Antonio de la Cruz,
421. San Antonio los Ranchos,
422. San Fernando,
423. San Francisco Lempa,
424. San Francisco Morazán,
425. San Ignacio,
426. San Isidro Labrador,
427. Cancasque,
428. Las Flores,
429. San Luis del Carmen,
430. San Miguel de Mercedes,
431. San Rafael,
432. Santa Rita,
433. Tejutla,
501. Antiguo Cuscatlán,
502. Ciudad Arce,
503. Colón,
504. Comasagua,
505. Chiltiupán,
506. Huizúcar,
507. Jayaque,
508. Jicalapa,
509. La Libertad,
510. Nuevo Cuscatlán,
511. Santa Tecla,
512. Quezaltepeque,
513. Sacacoyo,
514. San José Villanueva,
515. San Juan Opico,
516. San Matías,
517. San Pablo Tacachico,
518. Tamanique,
519. Talnique,
520. Teotepeque,
521. Tepecoyo,
522. Zaragoza,
601. Aguilares,
602. Apopa,
603. Ayutuxtepeque,
604. Cuscatancingo,
605. El Paisnal,
606. Guazapa,
607. Ilopango,
608. Mejicanos,
609. Nejapa,
610. Panchimalco,
611. Rosario de Mora,
612. San Marcos,
613. San Martín,
614. San Salvador,
615. Santiago Texacuangos,
616. Santo Tomás,
617. Soyapango,
618. Tonacatepeque,
619. Ciudad Delgado,
701. Candelaria,
702. Cojutepeque,
703. El Carmen,
704. El Rosario,
705. Monte San Juan,
706. Oratorio De Concepción,
707. San Bartolomé Perulapía,
708. San Cristóbal,
709. San José Guayabal,
710. San Pedro Perulapán,
711. San Rafael Cedros,
712. San Ramón,
713. Santa Cruz Analquito,
714. Santa Cruz Michapa,
715. Suchitoto,
716. Tenancingo,
801. Cuyultitán,
802. El Rosario,
803. Jerusalén,
804. Mercedes La Ceiba,
805. Olocuilta,
806. Paraíso de Osorio,
807. San Antonio Masahuat,
808. San Emigdio,
809. San Francisco Chinameca,
810. San Juan Nonualco,
811. San Juan Talpa,
812. San Juan Tepezontes,
813. San Luis Talpa,
814. San Miguel Tepezontes,
815. San Pedro Masahuat,
816. San Pedro Nonualco,
817. San Rafael Obrajuelo,
818. Santa María Ostuma,
819. Santiago Nonualco,
820. Tapalhuaca,
821. Zacatecoluca,
822. San Luis la Herradura,
901. Cinquera,
902. Guacotecti,
903. Ilobasco,
904. Jutiapa,
905. San Isidro,
906. Sensuntepeque,
907. Tejutepeque,
908. Victoria,
909. Dolores,
1001. Apastepeque,
1002. Guadalupe,
1003. San Cayetano Istepeque,
1004. Santa Clara,
1005. Santo Domingo,
1006. San Esteban Catarina,
1007. San Ildefonso,
1008. San Lorenzo,
1009. San Sebastián,
1010. San Vicente,
1011. Tecoluca,
1012. Tepetitán,
1013. Verapaz,
1101. Alegría,
1102. Berlín,
1103. California,
1104. Concepción Batres,
1105. El Triunfo,
1106. Ereguayquín,
1107. Estanzuelas,
1108. Jiquilisco,
1109. Jucuapa,
1110. Jucuarán,
1111. Mercedes Umaña,
1112. Nueva Granada,
1113. Ozatlán,
1114. Puerto El Triunfo,
1115. San Agustín,
1116. San Buena Ventura,
1117. San Dionisio,
1118. Santa Elena,
1119. San Francisco Javier,
1120. Santa María,
1121. Santiago de María,
1122. Tecapán,
1123. Usulután,
1201. Carolina,
1202. Ciudad Barrios,
1203. Comacarán,
1204. Chapeltique,
1205. Chinameca,
1206. Chirilagua,
1207. El Tránsito,
1208. Lolotique,
1209. Moncagua,
1210. Nueva Guadalupe,
1211. Nuevo Edén de San Juan,
1212. Quelepa,
1213. San Antonio,
1214. San Gerardo,
1215. San Jorge,
1216. San Luis de la Reina,
1217. San Miguel,
1218. San Rafael Oriente,
1219. Sesori,
1220. Uluazapa,
1301. Arambala,
1302. Cacaopera,
1303. Corinto,
1304. Chilanga,
1305. Delicias de Concepción,
1306. El Divisadero,
1307. El Rosario,
1308. Gualococti,
1309. Guatajiagua,
1310. Joateca,
1311. Jocoaitique,
1312. Jocoro,
1313. Lolotiquillo,
1314. Meanguera,
1315. Oscicala,
1316. Perquín,
1317. San Carlos,
1318. San Fernando,
1319. San Francisco Gotera,
1320. San Isidro,
1321. San Simón,
1322. Sensembra,
1323. Sociedad,
1324. Torola,
1325. Yamabal,
1326. Yoloaiquín,
1401. Anamorós,
1402. Bolívar,
1403. Concepción de Oriente,
1404. Conchagua,
1405. El Carmen,
1406. El Sauce,
1407. Intipucá,
1408. La Unión,
1409. Lislique,
1410. Meanguera del Golfo,
1411. Nueva Esparta,
1412. Pasaquina,
1413. Polorós,
1414. San Alejo,
1415. San José,
1416. Santa Rosa de Lima,
1417. Yayantique,
1418. Yucuaiquín",0,1," 101"," 614.0"," 1418",710.1706133333333,386.57996300760664,262,"▅▃▃▇▅▂▃▅","F4.0","6"
"autorrepresentado","Municipio autorrepresentado","numeric",NA,0,1,"0.0e+00","1.0e+00","     1",0.6614044444444445,0.4732362905493399,NA,"▅▁▁▁▇","F1.0","6"
"znorte","Zona norte","numeric",NA,0,1,"0.0e+00","0.0e+00","     1",0.2765155555555555,0.44727872706248983,NA,"▇▁▁▁▃","F1.0","6"
"r004","Código de departamento","haven_labelled","1. Ahuachapán,
2. Santa Ana,
3. Sonsonate,
4. Chalatenango,
5. La Libertad,
6. San Salvador,
7. Cuscatlán,
8. La Paz,
9. Cabañas,
10. San Vicente,
11. Usulután,
12. San Miguel,
13. Morazán,
14. La Unión",0,1,"   1","   6.0","   14",7.0096355555555565,3.852714185403401,14,"▅▅▃▇▅▂▃▅","F2.0","6"
"r005","Código de municipio","numeric",NA,0,1,"1.0e+00","8.0e+00","    33",9.207057777777779,6.137791235787207,NA,"▇▆▃▁▁","F2.0","6"
"r006","Código de cantón","numeric",NA,0,1,"0.0e+00","2.0e+00","    41",4.34816,5.990133393073153,NA,"▇▁▁▁▁","F8.2","6"
"r015","Mes de levantamiento","haven_labelled","1. Enero,
2. Febrero,
3. Marzo,
4. Abril,
5. Mayo,
6. Junio,
7. Julio,
8. Agosto,
9. Septiembre,
10. Octubre,
11. Noviembre,
12. Diciembre",0,1,"   1","   6.0","   12",6.3824177777777775,3.4268963731074975,12,"▇▅▇▃▅▇▂▇","F2.0","6"
"r017","Resultado final de la entrevista","haven_labelled","1. Completa,
2. Ausente temporal,
3. Rehúso,
4. Otros tipo A,
5. Desocupada,
6. Vacante usada temporalmente para negocio o almacenaje,
7. Otros tipo C,
8. Sin acceso a la información,
9. Por casos de covid 19",0,1,"   1","   1.0","    1",1,0,9,"▁▁▁▇▁▁▁▁","F1.0","6"
"r017otr",NA,"numeric",NA,56250,0,"     NA","     NA","    NA",NA,NA,NA," ","F2.0","6"
"r018","Número de orden del principal informante","numeric",NA,0,1,"1.0e+00","1.0e+00","     9",1.5708977777777777,0.8307688523461811,NA,"▇▁▁▁▁","F2.0","6"
"r019","Entrevista con boleta anexa","haven_labelled","1. Con boleta anexa,
2. Sin boleta anexa",0,1,"   1","   1.0","    1",1,0,2,"▁▁▁▇▁▁▁▁","F12.0","6"
"r020","Confiabilidad de la información","haven_labelled","1. Información confiable,
2. Informacion poco confiable,
3. Información no confiable",0,1,"   1","   1.0","    3",1.0422577777777777,0.24260116762744588,3,"▇▁▁▁▁▁▁▁","F1.0","6"
"r021a","Número de miembros del hogar","numeric",NA,0,1,"1.0e+00","4.0e+00","    15",3.9554844444444446,1.7229612836017654,NA,"▆▇▁▁▁","F2.0","6"
"r021b","Personas de 4 años y más del hogar","numeric",NA,0,1,"1.0e+00","4.0e+00","    13",3.71712,1.6188524556928083,NA,"▇▆▂▁▁","F2.0","6"
"r022","Personas de 5 años y más del hogar","numeric",NA,0,1,"1.0e+00","3.0e+00","    13",3.64896,1.5979816030380527,NA,"▇▆▂▁▁","F2.0","6"
"r024","Personas que se enfermaron del hogar","numeric",NA,0,1,"0.0e+00","0.0e+00","    11",0.7420622222222222,1.1642217138551976,NA,"▇▁▁▁▁","F2.0","6"
"r033","Personas de 4 años y más del hogar","numeric",NA,0,1,"1.0e+00","4.0e+00","    13",3.71712,1.6188524556928083,NA,"▇▆▂▁▁","F2.0","6"
"r034","Personas de 5 años y más del hogar","numeric",NA,0,1,"1.0e+00","3.0e+00","    13",3.64896,1.5979816030380527,NA,"▇▆▂▁▁","F2.0","6"
"r036","Personas que se enfermaron del hogar","numeric",NA,0,1,"0.0e+00","0.0e+00","    11",0.7420622222222222,1.1642217138551976,NA,"▇▁▁▁▁","F2.0","6"
"r039","Hogar con sección de pobreza multidimensional","haven_labelled","1. Hogar con sección de pobreza multidimensional,
8. Sin sección de pobreza multidimensional por ser una zona de riesgo,
9. Sin sección de pobreza multidimensional por rechazo del informante",0,1,"   1","   1.0","    1",1,0,3,"▁▁▁▇▁▁▁▁","F8.2","10"
"li",NA,"numeric",NA,0,1,"4.4e+01","6.8e+01","    68",57.02645866666667,11.560603910507007,NA,"▇▁▁▁▇","F8.2",NA
"smin",NA,"numeric",NA,0,1,"3.6e+02","3.6e+02","   363",363.05,0,NA,"▁▁▇▁▁","F8.2",NA
"actpr","Estado ocupacional","haven_labelled","10. Ocupado,
21. Desocupado abierto,
22. Desocupado oculto,
23. Desocupado oculto,
24. Desocupado oculto,
25. Desocupado oculto,
30. Inactivo",3817,0.9321422222222222,"  10","  21.0","   30",19.936814601491427,9.877057101953298,7,"▇▁▁▁▁▁▁▇","F2.0","6"
"actpr2012","Estado ocupacional agregado","haven_labelled","10. Ocupado,
20. Desocupado,
30. Inactivo",3817,0.9321422222222222,"  10","  20.0","   30",19.864398375069136,9.862241425181661,3,"▇▁▁▁▁▁▁▇","F2.0","6"
"actse","Estado ocupacional","haven_labelled","1. Ocupado pleno,
2. Subempleo visible,
3. Subempleo invisible,
4. Cesante,
5. Aspirante",40075,0.28755555555555556,"   1","   1.0","    5",1.9998145285935085,1.1317063262296034,5,"▇▂▁▅▁▁▁▁","F1.0","10"
"aproba1","Número de grados aprobados","numeric",NA,2955,0.9474666666666667,"0.0e+00","6.0e+00","    25",6.7393001219626605,5.0304320930429824,NA,"▇▆▅▁▁","F2.0","6"
"ciuo414","Grupo ocupacional (CIUO 08)","haven_labelled","1. Fuerzas Armadas,
2. Poder Ejecutivo, Legislativo, Directores de Administración Pública,
3. Profesionales, científicos e intelectuales,
4. Técnicos y profesionales de nivel medio,
5. Empleados de Oficina,
6. Trabajadores de los servicios y Vendedores de comercios y mercados,
7. Agricultores y trabajadores calificados agropecuarios y pesqueros,
8. Oficiales, Operarios y artesanos de artes mecánicas y otros,
9. Operadores de instalaciones, máquinas y montadores,
10. Trabajadores no calificados",30391,0.45971555555555554,"   1","   7.0","   10",7.151011253335396,2.2031318549835808,10,"▁▁▂▁▇▂▃▇","F2.0","6"
"ciiu416","Rama de actividad económica (CIIU Rev. 4)","haven_labelled","1. Agricultura, ganadería, caza y silvicultura,
2. Pesca,
3. Explotación de minas y canteras,
4. Industrias manufactureras,
5. Suministro de electricidad, gas y agua,
6. Construcción,
7. Comercio, hoteles y restaurantes,
8. Transporte, almacenamiento y comunicaciones,
9. Intermediación financiera, inmobiliarias,
10. Administración publica y defensa,
11. Enseñanza,
12. Servicios comunales sociales y de salud,
13. Hogares con servicios domésticos,
14. Actividades de organizaciones y órganos extraterritoriales",30391,0.45971555555555554,"   1","   7.0","   14",6.533044587957771,3.444736874638391,14,"▃▃▁▇▂▁▂▁","F2.0","6"
"ciiu438","Rama de actividad económica (CIIU Rev. 4)","haven_labelled","1. Agricultura, ganadería, caza y silvicultura,
2. Pesca,
3. Explotación de minas y canteras,
4. Industrias manufactureras,
5. Suministro de electricidad, gas y agua,
6. Construcción,
7. Comercio, hoteles y restaurantes,
8. Transporte, almacenamiento y comunicaciones,
9. Intermediación financiera, inmobiliarias,
10. Administración publica y defensa,
11. Enseñanza,
12. Servicios comunales sociales y de salud,
13. Hogares con servicios domésticos,
14. Actividades de organizaciones y órganos extraterritoriales",53131,0.05544888888888888,"   1","   6.0","   13",5.40686117345303,3.7817585350398892,14,"▇▃▁▇▁▁▁▂","F2.0","6"
"ciuo436","Grupo ocupacional (CIUO 08)","haven_labelled","1. Fuerzas Armadas,
2. Poder Ejecutivo, Legislativo, Directores de Administración Pública,
3. Profesionales, científicos e intelectuales,
4. Técnicos y profesionales de nivel medio,
5. Empleados de Oficina,
6. Trabajadores de los servicios y Vendedores de comercios y mercados,
7. Agricultores y trabajadores calificados agropecuarios y pesqueros,
8. Oficiales, Operarios y artesanos de artes mecánicas y otros,
9. Operadores de instalaciones, máquinas y montadores,
10. Trabajadores no calificados",53131,0.05544888888888888,"   1","   7.0","   10",7.4854119910227634,2.036949120828496,10,"▁▁▁▁▆▅▃▇","F2.0","6"
"d411b","Número de días trabajados la semana anterior","numeric",NA,30391,0.45971555555555554,"0.0e+00","6.0e+00","     7",5.396457712981941,1.5868825192441904,NA,"▁▁▁▃▇","F1.0","6"
"d412b","Número de días habituales trabajados en la semana","numeric",NA,30391,0.45971555555555554,"0.0e+00","0.0e+00","     7",1.4705518388182064,2.412922557280306,NA,"▇▁▁▁▂","F1.0","6"
"gmed","Gasto del hogar en educación","numeric",NA,0,1,"0.0e+00","2.0e+01","  1145",48.91882328888889,83.5898727501513,NA,"▇▁▁▁▁","F8.2","7"
"gmvi","Gasto del hogar en vivienda","numeric",NA,0,1,"0.0e+00","6.9e+01","  2514",96.9292304,103.34275211814749,NA,"▇▁▁▁▁","F8.2","7"
"gmem","Gasto del hogar en empleo","numeric",NA,0,1,"0.0e+00","1.7e+01","  2492",78.86256195555556,156.45085402241082,NA,"▇▁▁▁▁","F8.2","7"
"h411a","Horas trabajadas la semana anterior","numeric",NA,30391,0.45971555555555554,"0.0e+00","4.4e+01","    72",41.37924900421517,16.352375185927876,NA,"▂▂▆▇▃","F2.0","6"
"h412a","Horas habituales trabajadas en la semana","numeric",NA,30391,0.45971555555555554,"0.0e+00","0.0e+00","    72",8.171584361344213,14.004763783212738,NA,"▇▁▁▁▁","F2.0","6"
"imeds","Ingreso por empleo dependiente","numeric",NA,0,1,"0.0e+00","0.0e+00","  2500",113.36494844444444,229.66222207424727,NA,"▇▁▁▁▁","F8.2","7"
"imei","Ingreso por empleo independiente","numeric",NA,0,1,"0.0e+00","0.0e+00"," 13550",44.627288533333335,253.289223113106,NA,"▇▁▁▁▁","F8.2","7"
"imes","Ingreso por empleo secundario","numeric",NA,0,1,"0.0e+00","0.0e+00","  1150",3.453287288888889,33.70815041914994,NA,"▇▁▁▁▁","F8.2","7"
"imnl","Ingreso por actividades no laborales","numeric",NA,0,1,"0.0e+00","0.0e+00","  2500",17.54559377777778,87.91668029562153,NA,"▇▁▁▁▁","F8.2","7"
"ingfa","Ingreso mensual familiar","numeric",NA,0,1,"0.0e+00","5.8e+02"," 13562",767.2655843555556,711.3893732621129,NA,"▇▁▁▁▁","F9.2","10"
"ingneto","Ingreso neto por actividades agropecuarias","numeric",NA,0,1,"0.0e+00","0.0e+00","  1000",4.355491911111111,29.434439909282858,NA,"▇▁▁▁▁","F8.2","7"
"ingpe","Ingreso mensual percápita","numeric",NA,0,1,"0.0e+00","1.6e+02","  9300",212.2455511111111,210.78294565673193,NA,"▇▁▁▁▁","F9.2","10"
"ingre","Ingreso total (persona)","numeric",NA,0,1,"0.0e+00","0.0e+00"," 13550",188.65220995555555,351.23282154577527,NA,"▇▁▁▁▁","F8.2","7"
"irefa","Ingreso por remesas","numeric",NA,0,1,"0.0e+00","0.0e+00","  2400",55.593411555555555,131.18028664488182,NA,"▇▁▁▁▁","F9.2","10"
"irefb","Ingreso por remesas eventuales","numeric",NA,0,1,"0.0e+00","0.0e+00","   792",1.1990079999999999,11.76933726501657,NA,"▇▁▁▁▁","F9.2","10"
"ires","Ingreso por remesas en especie","numeric",NA,0,1,"0.0e+00","0.0e+00","   250",0.9908335999999999,8.271058904587893,NA,"▇▁▁▁▁","F9.2","10"
"miemh","Número de miembros del hogar","numeric",NA,0,1,"1.0e+00","4.0e+00","    15",3.9554844444444446,1.7229612836017654,NA,"▆▇▁▁▁","F2.0","6"
"miemh_exdomestico","Número de miembros del hogar excluyendo servicio doméstico","numeric",NA,0,1,"1.0e+00","4.0e+00","    15",3.9526044444444444,1.7238025921743316,NA,"▆▇▁▁▁","F2.0","6"
"money","Ingreso por trabajo dependiente o empleo independiente","numeric",NA,0,1,"0.0e+00","0.0e+00"," 13550",157.99223697777776,326.77461097967955,NA,"▇▁▁▁▁","F8.2","7"
"oia","Otros ingresos","numeric",NA,0,1,"0.0e+00","0.0e+00","  2954",0.8601264000000001,24.271364356698765,NA,"▇▁▁▁▁","F8.2","7"
"oimed","Otros ingresos por trabajo dependiente","numeric",NA,0,1,"0.0e+00","0.0e+00","  1508",8.80096551111111,39.171966494879335,NA,"▇▁▁▁▁","F8.2","7"
"pobreza","Condición de pobreza del hogar","haven_labelled","1. Pobreza extrema,
2. Pobreza relativa,
3. No pobres",0,1,"   1","   3.0","    3",2.59184,0.6631707587100721,3,"▁▁▁▂▁▁▁▇","F1.0","10"
"segm","Segmentación del mercado laboral","haven_labelled","1. Formal,
2. Informal,
3. Servicio doméstico,
4. Nunca ha trabajado,
5. Inactivo",28138,0.49976888888888893,"   1","   2.0","    5",3.174516220830962,1.774124020669715,5,"▅▅▁▁▁▁▁▇","F1.0","10"
"totayuda","Total de remesas","numeric",NA,0,1,"0.0e+00","0.0e+00","  2400",57.78325315555556,133.75732740151898,NA,"▇▁▁▁▁","F9.2","10"
"r01a","Tiene el hogar algún miembro en el extranjero","haven_labelled","1. Sí,
2. No",0,1,"   1","   2.0","    2",1.8327644444444444,0.37318936269678465,2,"▂▁▁▁▁▁▁▇","F1.0","6"
"r01b","Total de miembros en el extranjero","numeric",NA,46843,0.16723555555555558,"1.0e+00","1.0e+00","    17",1.8916764111831614,1.418215474888206,NA,"▇▁▁▁▁","F2.0","6"
"r01c","Hombres en el extranjero","numeric",NA,46843,0.16723555555555558,"0.0e+00","1.0e+00","     8",1.1311789093228446,1.0011754321806368,NA,"▇▂▁▁▁","F2.0","6"
"r01d","Mujeres en el extranjero","numeric",NA,46843,0.16723555555555558,"0.0e+00","1.0e+00","    17",0.7604975018603168,0.97934227841312,NA,"▇▁▁▁▁","F2.0","6"
"r01e","Tiempo en el extranjero del más reciente","numeric",NA,46924,0.16579555555555558,"0.0e+00","6.0e+00","    50",8.60068625348488,8.243342951391767,NA,"▇▂▁▁▁","F2.0","6"
"r01f_a","País de residencia de los miembros en el extranjero","haven_labelled","36. Australia,
124. Canadá,
484. México,
724. España,
840. Estados Unidos,
999. Otros",46843,0.16723555555555558,"  36"," 840.0","  999",835.1940044647603,72.3209844132634,6,"▁▁▁▁▁▁▇▁","F3.0","6"
"r01f_b","País de residencia de los miembros en el extranjero","haven_labelled","36. Australia,
124. Canadá,
484. México,
724. España,
840. Estados Unidos,
999. Otros",56181,0.0012266666666667092," 124"," 724.0","  999",665.927536231884,338.29691617765474,6,"▆▁▁▁▁▇▁▇","F3.0","6"
"r01f_c","País de residencia de los miembros en el extranjero","haven_labelled","36. Australia,
124. Canadá,
484. México,
724. España,
840. Estados Unidos,
999. Otros",56250,0," Inf","    NA"," -Inf",NA,NA,6," ","F3.0","6"
"r01f_d","País de residencia de los miembros en el extranjero","haven_labelled","36. Australia,
124. Canadá,
484. México,
724. España,
840. Estados Unidos,
999. Otros",56250,0," Inf","    NA"," -Inf",NA,NA,6," ","F3.0","6"
"r01otr","Otro país de residencia","numeric",NA,56017,0.004142222222222269,"3.2e+01","3.4e+02","   826",341.44635193133047,188.4223243806219,NA,"▆▇▇▂▂","F2.0","6"
"r02a","Tiene el hogar pupilos","haven_labelled","1. Sí,
2. No",0,1,"   1","   2.0","    2",1.9989333333333332,0.03264273015483627,2,"▁▁▁▁▁▁▁▇","F1.0","6"
"r02b","Total de pupilos","numeric",NA,56190,0.0010666666666666602,"1.0e+00","1.0e+00","    11",1.7,1.9071675688290268,NA,"▇▁▁▁▁","F2.0","6"
